YYYY-MM-DD(DOY),planting_date,harvest_date,yield,used_biomass,irrigation_demand,precipitation,county_name,crop_name,latitude,longitude,date,year
1980-08-27(240),1980130,1980240,15147.19043,0,421.828766,86.074997,Okanogan,Corn_grain,48.15625,-119.71875,1980-08-27,1980
1981-08-21(233),1981130,1981233,15926.3877,0,427.074036,100.550003,Okanogan,Corn_grain,48.15625,-119.71875,1981-08-21,1981
1982-08-16(228),1982130,1982228,13489.79102,0,363.383331,97.675003,Okanogan,Corn_grain,48.15625,-119.71875,1982-08-16,1982
1983-08-19(231),1983130,1983231,15263.73731,0,382.292114,101.824997,Okanogan,Corn_grain,48.15625,-119.71875,1983-08-19,1983
1984-08-22(235),1984130,1984235,13779.91113,0,391.802673,90.575005,Okanogan,Corn_grain,48.15625,-119.71875,1984-08-22,1984
1985-08-04(216),1985130,1985216,13920.44824,0,445.965393,28.174999,Okanogan,Corn_grain,48.15625,-119.71875,1985-08-04,1985
1986-08-10(222),1986130,1986222,13722.78613,0,405.909058,22.575001,Okanogan,Corn_grain,48.15625,-119.71875,1986-08-10,1986
1987-08-13(225),1987130,1987225,14043.31934,0,393.008881,78.824997,Okanogan,Corn_grain,48.15625,-119.71875,1987-08-13,1987
1988-08-16(229),1988130,1988229,14365.99219,0,424.182007,50.25,Okanogan,Corn_grain,48.15625,-119.71875,1988-08-16,1988
1989-08-18(230),1989130,1989230,13565.94434,0,405.157379,81.974998,Okanogan,Corn_grain,48.15625,-119.71875,1989-08-18,1989
1990-08-14(226),1990130,1990226,12872.875,0,385.648712,141.125,Okanogan,Corn_grain,48.15625,-119.71875,1990-08-14,1990
1991-08-19(231),1991130,1991231,14308.9541,0,377.364471,115.625,Okanogan,Corn_grain,48.15625,-119.71875,1991-08-19,1991
1992-08-05(218),1992130,1992218,12878.33301,0,331.857208,135.199997,Okanogan,Corn_grain,48.15625,-119.71875,1992-08-05,1992
1993-08-17(229),1993130,1993229,16326.79199,0,350.894928,142.600006,Okanogan,Corn_grain,48.15625,-119.71875,1993-08-17,1993
1994-08-09(221),1994130,1994221,13942.84961,0,412.341064,55.275002,Okanogan,Corn_grain,48.15625,-119.71875,1994-08-09,1994
1995-08-15(227),1995130,1995227,14279.04102,0,389.375732,43.150002,Okanogan,Corn_grain,48.15625,-119.71875,1995-08-15,1995
1996-08-18(231),1996130,1996231,14089.01367,0,411.801422,55.525002,Okanogan,Corn_grain,48.15625,-119.71875,1996-08-18,1996
1997-08-18(230),1997130,1997230,15432.03906,0,376.910767,108.050003,Okanogan,Corn_grain,48.15625,-119.71875,1997-08-18,1997
1998-08-08(220),1998130,1998220,12743.04785,0,331.235016,128.099991,Okanogan,Corn_grain,48.15625,-119.71875,1998-08-08,1998
1999-08-24(236),1999130,1999236,14235.02832,0,409.907684,41.825001,Okanogan,Corn_grain,48.15625,-119.71875,1999-08-24,1999
2000-08-17(230),2000130,2000230,14763.81445,0,416.722443,44.849998,Okanogan,Corn_grain,48.15625,-119.71875,2000-08-17,2000
2001-08-15(227),2001130,2001227,15291.72656,0,423.438477,44.674999,Okanogan,Corn_grain,48.15625,-119.71875,2001-08-15,2001
2002-08-14(226),2002130,2002226,13515.97461,0,418.662079,27.950001,Okanogan,Corn_grain,48.15625,-119.71875,2002-08-14,2002
2003-08-06(218),2003130,2003218,13478.25488,0,422.993256,7.675,Okanogan,Corn_grain,48.15625,-119.71875,2003-08-06,2003
2004-08-09(222),2004130,2004222,13306.15234,0,389.310425,78.175003,Okanogan,Corn_grain,48.15625,-119.71875,2004-08-09,2004
2005-08-13(225),2005130,2005225,14699.75195,0,401.772583,61.75,Okanogan,Corn_grain,48.15625,-119.71875,2005-08-13,2005
2006-08-07(219),2006130,2006219,13865.88574,0,387.842468,72.75,Okanogan,Corn_grain,48.15625,-119.71875,2006-08-07,2006
2007-08-08(220),2007130,2007220,13454.44043,0,393.656311,35.475002,Okanogan,Corn_grain,48.15625,-119.71875,2007-08-08,2007
2008-08-12(225),2008130,2008225,15096.0625,0,434.888031,33.849998,Okanogan,Corn_grain,48.15625,-119.71875,2008-08-12,2008
